year,agency,q035,q001,q002,q003,q004,q005,q013,q036,q037,q038,q025,q068,q014,q024,q027,q067,q039,q040,q066,q044,q045,q051,q052,q064,arid
2011,1,18.0,,,,,,4.0,,,,1.0,,,,23.0,,12.0,,,,1.0,,,,10000700887
2011,3,3.0,,,,,,4.0,,1.0,,,13.0,,,26.0,,,,,,,,,,30000034186
2011,1,25.0,,,,,,4.0,,,,,,,,54.0,,,,,,,,,,10000011573
2011,3,2.0,,,,,,1.0,1.0,,,1.0,,,,78.0,,,,,,,,,,30000012627
2011,9,2.0,6591.0,933.0,2155.0,9.0,3.0,68.0,1288.0,81.0,1.0,7707.0,47.0,386.0,569.0,46792.0,,,,,15.0,1.0,,,,90000480228
2011,5,64.0,1.0,,,,,1.0,4.0,5.0,,157.0,1.0,,,33.0,,,,,1.0,1.0,,,,50000024694
2011,1,60.0,1.0,1.0,,,,,,4.0,,1.0,59.0,,,156.0,,,,,,1.0,,,,10000014206
2011,9,7.0,523.0,30.0,27.0,,,52.0,19.0,,,205.0,9.0,8.0,2.0,238.0,,,,,,,,,,90002735146
2011,3,3.0,,,1.0,,1.0,87.0,1.0,,,,,,,1.0,,3.0,,,,,,3.0,,335-1805251
2011,3,8.0,,,,,,,,,,,,,,,,,,,,,,,,30000015046
2011,5,28.0,,,,,,,,,,1.0,,,,2.0,,,,,5.0,,,,,50000061755
2011,3,8.0,1.0,,,,,,,,,3.0,,,,21.0,,,,,1.0,1.0,,,,30000028211
2011,3,6.0,,,,,,8.0,17.0,,,,,,,81.0,,,,,1.0,,,,,30000019006
2011,1,25.0,1.0,,,,,,1.0,,,,,,,70.0,,,,,,,,,,146-0429381
2011,2,3.0,,,,,,,,,,2.0,,,,21.0,,,,,,,,,,20000143952
2011,3,12.0,,,,,,,,,,,,,,1.0,,,,,,,,,,30000014361
2011,3,2.0,,,,,,4.0,,,,5.0,1.0,,,41.0,,,,,,,,,,30000017282
2011,1,97.0,1.0,,,,,14.0,1.0,,,1.0,48.0,,1.0,101.0,,,,,1.0,,,,,10000704192
2011,1,2.0,,,,,,4.0,,,,4.0,14.0,,,144.0,,,,,,,,,,10000023038
2011,3,2.0,,,,,,2.0,,,,,,,,5.0,,,,,,,,,,30000014471
2011,3,71.0,,,,,,1.0,,,,,,1.0,,4.0,,,,,,,,,,30000019980
2011,3,1.0,,,,,,8.0,4.0,,,,,,,23.0,,,,,,,,,,30000017476
2011,1,1.0,,,,,,,11.0,,,,,,1.0,74.0,,,,,,,,,,10000706707
2011,2,219.0,,,,,,4.0,1.0,2.0,,2.0,,,1.0,101.0,,,,,1.0,,,,,20000636771
2011,5,4.0,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,50000063932
2011,3,9.0,2.0,1.0,,,,,,3.0,,1.0,,2.0,,62.0,,,,,2.0,,,,,30000019506
2011,3,3.0,7.0,1.0,,,,22.0,,10.0,,5.0,1.0,,1.0,160.0,,,,,,,,,,30000023627
2011,5,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,50000060238
2011,3,11.0,3.0,,,,,,,,,,,2.0,,51.0,,,,,,,,,,30000021440
2011,3,1.0,,,,,,4.0,3.0,,,,,,,16.0,,,,2.0,3.0,,,,,30000011492
2011,7,28.0,25.0,,91.0,,,,26.0,,,,,5.0,4.0,2040.0,,,,,,,,,,77505400005
2011,3,22.0,,,,,,2.0,,1.0,,1.0,,,,25.0,,,,,,,,,,30000014633
2011,3,4.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,30000008283
2011,2,10.0,,,,,,10.0,3.0,,,2.0,2.0,,3.0,106.0,,,,,1.0,,,,,20000074140
2011,7,9.0,15.0,3.0,,,1.0,,2.0,3.0,,1.0,16.0,1.0,,72.0,5.0,,,,,,,,,754-0756781
